customer_id,name,email,phone,location
C001,Jennifer Jones,jason76@example.net,724.523.8849x696,New Trevor
C002,Shannon Hernandez,laurahenderson@example.org,(669)878-4801x8451,South Aaron
C003,Michelle Stanton,williamrodriguez@example.net,289-332-5288x0957,Natashaport
C004,David Bradley,millertodd@example.org,001-682-827-8248x96383,Samuelhaven
C005,David Brown,chapmanjerry@example.org,5106310518,Lewisberg
C006,Sonya Johnston,kristenaguirre@example.org,216-856-6701,Laurenville
C007,Connor West,dwhite@example.org,478-810-8013,Olsonfurt
C008,Carmen Smith,ybaker@example.com,268-272-3430x9805,Shawhaven
C009,Tyler Miller,caseyjones@example.org,(719)639-9091x6998,Lake Jennifer
C010,James Powers,stephen10@example.com,+1-791-618-3842x513,South Martha
C011,Lisa Archer,contrerasangela@example.net,524-711-8244,Lake Cynthia
C012,John Whitehead,davisrodney@example.com,2053242786,Lake Rebeccaside
C013,Jacob Tran,tanderson@example.com,4535315869,Port Lisa
C014,Allison Doyle,kimberly63@example.com,(616)507-3375,North Donna
C015,Donald Jones,michael86@example.net,+1-350-814-2940,Jessicamouth
C016,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,Angelaborough
C017,Todd Byrd,christinaturner@example.net,9449369957,New Thomas
C018,Rebecca Jackson,campbellelizabeth@example.net,813-543-3200x37917,Snyderbury
C019,Michael Stafford,osbornejeffery@example.net,870.983.1727x88957,Lake Michelle
C020,Paul Larsen,katie87@example.net,347.414.3455,East Patrick
C021,Daniel Perry,amy60@example.org,(569)909-6705x46688,West Ryan
C022,George Shelton,dramsey@example.org,+1-280-669-9016x272,Murphymouth
C023,Philip Gray,fking@example.com,5802531003,East David
C024,Kristy Robinson,katie29@example.net,001-512-341-9049x6631,Melissaville
C025,Kylie Williams,estanley@example.net,+1-650-967-1657x2628,Grahamshire
C026,Samuel Rivas,ramirezshannon@example.com,001-596-750-7527,Matthewview
C027,Kellie Lee,jenniferfreeman@example.org,001-777-970-1436x349,Ronaldside
C028,Michael Nelson,jerry35@example.org,001-682-533-7498x9413,Harrytown
C029,Beth Williams,tranheidi@example.org,+1-971-309-4777x5204,South Travisshire
C030,Amy Hernandez,christopher31@example.net,001-269-399-3867x74964,Lake Jason
C031,Brooke Thompson,moorericky@example.net,+1-574-803-4471x349,New Jeffreyberg
C032,Samantha Jones,lauralarson@example.net,271-874-6488x7719,Cassandratown
C033,Vernon Huff,keyemily@example.com,001-802-978-7429,South Michaelmouth
C034,Brian Martin,ssteele@example.net,(980)871-5451x6808,East Aprilfort
C035,Olivia Harris,sarakim@example.net,310.993.2480x8613,Lake Marilynfort
C036,Dorothy Thornton,edavenport@example.org,682.263.9821x465,Jessicashire
C037,Mary Grimes,wryan@example.com,+1-586-875-3396,West Juliefurt
C038,Matthew Hoover,tylerjohnson@example.net,001-851-471-8702,South Kimberlyview
C039,Michael Santos,melissa86@example.com,+1-978-409-1343x1611,Rebeccaton
C040,Anthony Howard,hthomas@example.com,001-922-421-9693,South Dana
C041,Michael Nolan,rsantana@example.net,(617)559-4647,Castanedaville
C042,Kenneth Andrews,andrew64@example.org,001-509-674-3953,Lake Colton
C043,Amanda Kramer,rileyjessica@example.org,956-623-2858x8424,Lindamouth
C044,Brenda Levy,zcoffey@example.net,(716)304-8175x496,South Angel
C045,Kristina Herman,deborahreid@example.com,001-446-812-0047x113,Watsonside
C046,Patrick Moore,fpena@example.net,(840)653-7735x15850,North Stacy
C047,Anna Lewis,williamsmatthew@example.org,001-431-283-9335,Micheleberg
C048,Ms. Rebecca Rodriguez,andersonmichael@example.org,001-350-324-0268,Weststad
C049,Ashley Gordon,acostaregina@example.net,447.300.7661x77115,West Claudia
C050,Michelle James,shawn96@example.org,001-318-736-7365x766,Edwardsview
